feature,coef,abs_coef
categorical__chronic_condition_count_7,19844.057295075607,19844.057295075607
categorical__physical_difficulty_count_6,18200.796499538108,18200.796499538108
categorical__chronic_condition_count_9,-11336.44829976615,11336.44829976615
categorical__physical_difficulty_count_0,-9286.378530406766,9286.378530406766
categorical__RTHLTH42_5.0,9247.94008115315,9247.94008115315
categorical__INSC1231_2,8196.440256575757,8196.440256575757
categorical__INSC1231_1,-8196.440256575677,8196.440256575677
categorical__MARRY23X_Unknown,-7670.56052092066,7670.56052092066
categorical__chronic_condition_count_0,-7480.870093275078,7480.870093275078
categorical__physical_difficulty_count_1,-7102.824536752346,7102.824536752346
categorical__chronic_condition_count_6,6258.283866616765,6258.283866616765
categorical__chronic_condition_count_5,6249.309921444336,6249.309921444336
categorical__limitation_indicator_count_4,6126.450952808762,6126.450952808762
categorical__chronic_condition_count_1,-6013.848127619672,6013.848127619672
categorical__physical_difficulty_count_2,-5482.725578608295,5482.725578608295
categorical__RTHLTH42_1.0,-5184.895430386015,5184.895430386015
categorical__limitation_indicator_count_0,-4713.496474185533,4713.496474185533
categorical__RTHLTH42_2.0,-4669.612382859591,4669.612382859591
categorical__MARRY23X_4.0,4259.601053480583,4259.601053480583
categorical__physical_difficulty_count_4,3972.5699286018644,3972.5699286018644
categorical__chronic_condition_count_2,-3818.920607231009,3818.920607231009
categorical__chronic_condition_count_3,-2943.6520449450013,2943.6520449450013
categorical__access_barrier_count_6,-2704.7605589828495,2704.7605589828495
categorical__physical_difficulty_count_3,-2697.7750411172774,2697.7750411172774
categorical__limitation_indicator_count_1,-2480.472861708769,2480.472861708769
categorical__physical_difficulty_count_5,2396.3372590731706,2396.3372590731706
categorical__RTHLTH42_4.0,2377.519471806097,2377.519471806097
categorical__chronic_condition_count_8,-2166.548528018469,2166.548528018469
categorical__HAVEUS42_1.0,2103.9471241544284,2103.9471241544284
categorical__FAMSZEYR_10,-1972.405545589818,1972.405545589818
categorical__HAVEUS42_Unknown,-1956.3860997022257,1956.3860997022257
categorical__MARRY23X_3.0,1855.2440858364707,1855.2440858364707
categorical__MNHLTH42_5.0,-1838.840659937754,1838.840659937754
categorical__HIDEG_1.0,-1798.631782266382,1798.631782266382
categorical__RTHLTH42_3.0,-1770.951739744053,1770.951739744053
categorical__access_barrier_count_0,1680.5085368123043,1680.5085368123043
categorical__HIDEG_5.0,1656.7760931310836,1656.7760931310836
categorical__POVCAT23_5,1593.4074870964328,1593.4074870964328
categorical__access_barrier_count_2,1534.2066896878055,1534.2066896878055
categorical__limitation_indicator_count_2,1474.5382819784509,1474.5382819784509
categorical__FAMSZEYR_1,1447.7615859170373,1447.7615859170373
categorical__FAMSZEYR_11,-1424.4014574002892,1424.4014574002892
categorical__chronic_condition_count_4,1408.6366179396505,1408.6366179396505
categorical__BORNUSA_Unknown,-1378.958687924917,1378.958687924917
categorical__FAMSZEYR_8,1331.5567513074727,1331.5567513074727
categorical__MARRY23X_1.0,1267.4887595051741,1267.4887595051741
categorical__MNHLTH42_1.0,1244.850758756492,1244.850758756492
categorical__POVCAT23_1,-1184.1804950613275,1184.1804950613275
categorical__MNHLTH42_4.0,-1130.713262071937,1130.713262071937
categorical__MARRY23X_5.0,1096.6034197595072,1096.6034197595072
categorical__BORNUSA_1.0,1081.8212975190386,1081.8212975190386
categorical__HIDEG_7.0,-1071.910681434485,1071.910681434485
categorical__MNHLTH42_2.0,1018.4069358006392,1018.4069358006392
categorical__FAMSZEYR_9,1010.1293612442386,1010.1293612442386
categorical__POVCAT23_3,-969.9128798910092,969.9128798910092
categorical__access_barrier_count_1,925.1393816495229,925.1393816495229
categorical__HELD31X_Unknown,-904.8857552178825,904.8857552178825
categorical__access_barrier_count_5,-838.0923897777225,838.0923897777225
categorical__OFFER31X_Unknown,811.3395588780991,811.3395588780991
categorical__MARRY23X_2.0,-808.3767977537526,808.3767977537526
categorical__access_barrier_count_3,-799.5915856943585,799.5915856943585
categorical__HIDEG_Unknown,781.4400295860826,781.4400295860826
categorical__REGION23_1,751.532062454405,751.532062454405
categorical__FAMSZEYR_14,-733.8237357074823,733.8237357074823
categorical__HIDEG_6.0,721.9409960246251,721.9409960246251
categorical__MNHLTH42_3.0,706.296227445037,706.296227445037
categorical__RACETHX_4,-694.0487244960145,694.0487244960145
categorical__RACETHX_2,687.6377735258319,687.6377735258319
categorical__HELD31X_1.0,637.7626320515686,637.7626320515686
categorical__OFFER31X_1.0,-534.9648046342567,534.9648046342567
categorical__FAMSZEYR_2,513.5970535462245,513.5970535462245
categorical__HIDEG_3.0,-505.94154639855617,505.94154639855617
categorical__REGION23_3,-469.0572691845408,469.0572691845408
categorical__RACETHX_5,457.55716672016666,457.55716672016666
categorical__FOODST23_1.0,-429.3186004688923,429.3186004688923
categorical__FOODST23_2.0,429.31860046360424,429.31860046360424
categorical__limitation_indicator_count_3,-407.0198985521874,407.0198985521874
categorical__RACETHX_1,-347.7493007958727,347.7493007958727
categorical__HISPANX_1,-347.7493007958727,347.7493007958727
categorical__HISPANX_2,347.74930065690114,347.74930065690114
categorical__REGION23_2,-306.5233583631881,306.5233583631881
categorical__BORNUSA_2.0,297.1373902822285,297.1373902822285
categorical__POVCAT23_4,293.502255543941,293.502255543941
categorical__OFFER31X_2.0,-276.37475421982344,276.37475421982344
categorical__SEX_2,276.07054921449804,276.07054921449804
categorical__SEX_1,-276.07054917093325,276.07054917093325
categorical__POVCAT23_2,267.183632342389,267.183632342389
categorical__HELD31X_2.0,267.1231231614375,267.1231231614375
categorical__FAMSZEYR_7,258.33894912989166,258.33894912989166
categorical__FAMSZEYR_6,-253.42609157815374,253.42609157815374
numeric__EDUCYR,227.86480537604075,227.86480537604075
categorical__FAMSZEYR_5,-215.4670659489784,215.4670659489784
numeric__AGE23X,204.6644239439109,204.6644239439109
categorical__access_barrier_count_4,202.5899263123171,202.5899263123171
categorical__HAVEUS42_2.0,-147.5610243077713,147.5610243077713
categorical__HIDEG_4.0,142.93750331187186,142.93750331187186
categorical__RACETHX_3,-103.39691499594717,103.39691499594717
categorical__HIDEG_2.0,73.38938806420013,73.38938806420013
categorical__REGION23_4,24.0485651385381,24.0485651385381
categorical__FAMSZEYR_4,21.948405463449934,21.948405463449934
categorical__FAMSZEYR_3,16.191789625576085,16.191789625576085
categorical__ANYLMI23_2.0,6.4586524077083585,6.4586524077083585
categorical__ANYLMI23_1.0,-6.458652001261376,6.458652001261376
